,Country,Price 2014,Affordability Change 2014,Tax Share 2014,Tax Structure 2014,Overall Score 2014,Price 2016,Affordability Change 2016,Tax Share 2016,Tax Structure 2016,Overall Score 2016,Price 2018,Affordability Change 2018,Tax Share 2018,Tax Structure 2018,Overall Score 2018,Price 2020,Affordability Change 2020,Tax Share 2020,Tax Structure 2020,Overall Score 2020
0,Afghanistan,0,0,0,0,0,0,1,0,0,0.25,0,1,0,0,0.25,0,0,0,0,0
1,Albania,2,3,2.5,4,2.88,2,3,3,4,3,2,0,3,4,2.25,3,0,3.5,5,2.88
2,Algeria,1,0,0.5,1,0.63,2,5,0.5,1,2.13,3,5,0,1,2.25,3,5,0.5,1,2.38
3,Andorra, ,5,4,1, , ,0,4.5,1, , ,0,5,4, , , ,5,4, 
4,Angola,1,1,0,0,0.5, ,0, , , ,1,1,0,0,0.5,2,5,0,2,2.25
5,Antigua and Barbuda,2,1,0,0,0.75,1,0,0,0,0.25,1,0,0,0,0.25,3,0,0,0,0.75
6,Argentina,1,0,4,2,1.75,2,0,5,2,2.25,2,5,5,2,3.5,2,5,4,2,3.25
7,Armenia,2,0,0,1,0.75,2, ,0.5,1,0.88,2, ,0.5,2,1.13,2, ,0.5,5,1.88
8,Australia,5,4,2.5,5,4.13,5,4,3,5,4.25,5,4,4.5,5,4.63,5,4,4,1,3.5
9,Austria,3,3,3.5,3,3.13,3,2,4,3,3,3,0,4,3,2.5,3,0,3.5,3,2.38
10,Azerbaijan,1,1,0,1,0.75,3,5,0,4,3,1,0,0.5,1,0.63,1,0,1.5,1,0.88
11,Bahamas,4,5,1.5,4,3.63,5,5,1,4,3.75, ,5, , , ,5,1,1,4,2.75
12,Bahrain,2,1,0,0,0.75,4,1,0,0,1.25,5,5,3,2,3.75,5,5,3.5,2,3.88
13,Bangladesh,0,0,2.5,1,0.88,0,0,3.5,1,1.13,1,0,3.5,1,1.38,1,5,3.5,1,2.63
14,Barbados,3,3,0.5,4,2.63,3,3,0.5,4,2.63,3,0,1.5,4,2.13, ,0, , , 
15,Belarus,0,0,1.5,1,0.63,0,0,1.5,1,0.63,0,0,1.5,1,0.63,0,0,2,1,0.75
16,Belgium,4,3,4,3,3.5,4,2,4,3,3.25,4,2,4,3,3.25,4,2,4,3,3.25
17,Belize,1, ,0.5,0,0.38,1, ,0.5,4,1.38,1, ,1,4,1.5,2,0,0,4,1.5
18,Benin,1, ,0,2,0.75,1, ,0,2,0.75,1, ,0,2,0.75,1, ,0,2,0.75
19,Bhutan, , , , , , , , , , , , , , , ,5, ,0, , 
20,Bolivia,1,0,0.5,2,0.88,2,1,0.5,1,1.13,2,0,0.5,1,0.88,2,0,0.5,1,0.88
21,Bosnia and Herzegovina,2,4,4.5,3,3.38,3,4,4.5,3,3.63,4,4,4.5,3,3.88,4,3,4.5,3,3.63
22,Botswana,3,0,2.5,4,2.38,3,0,1.5,4,2.13,4,0,1.5,4,2.38,5,5,1.5,5,4.13
23,Brazil,1,3,1.5,1,1.63,1,3,2.5,5,2.88,1,0,3.5,4,2.13,1, ,3,4,2
24,Brunei Darussalam, ,5, , , , ,0, , , , , , , , , , , , , 
25,Bulgaria,3,0,4.5,4,2.88,3, ,4.5,3,2.63,3, ,4.5,4,2.88,3, ,4.5,4,2.88
26,Burkina Faso,1, ,0,1,0.5,1,0,0,1,0.5,1,3,0.5,2,1.63,1,3,0.5,2,1.63
27,Burundi,1,0,0.5,4,1.38,1,0,0.5,4,1.38,1,0,0.5,4,1.38,1,0,0.5,4,1.38
28,Cabo Verde,1, ,0,2,0.75,1, ,0,2,0.75,1, ,0,2,0.75,2,0,0,4,1.5
29,Cambodia,0,0,0,2,0.5,0, ,0,2,0.5,0, ,0,2,0.5,0, ,0,2,0.5
30,Cameroon,1, ,0, , ,1, ,0,2,0.75,1,0,0,2,0.75,1,3,0.5,4,2.13
31,Canada,4,0,4,5,3.25,4,0,3.5,5,3.13,4,3,3,5,3.75,5,4,3,5,4.25
32,Central African Republic,1,0,0,2,0.75, ,0, , , ,0,0,0.5,3,0.88, ,0, , , 
33,Chad,1,0,0,2,0.75,1,5,0,2,2,2,5,0,2,2.25,1,0,1.5,4,1.63
